Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 06 06 16 05 30     8.5    -0.5   1.049   0.2   0.0   0.0  30.5  38.7   0.0 101 117   0  30  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  16.02     1.1602    0.003  12.6   1.5  99.5    8.51    93.4      -1.0000       0.0000
2019 06 06 16 20 30    10.2    -0.1   1.058   0.2   0.0   0.0  29.7  38.7   0.0  99 116   0  30  26  20   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.99     1.1694    0.002  12.6   1.5  99.5   10.20    90.6      -1.0000       0.0000
2019 06 06 16 35 30     9.5    -0.5   1.069   0.2   0.0   0.0  29.7  37.0   0.0  99 114   0  30  28  22   0  264.6  -0.8  -1.2  0.0  0.0  0.0  16.00     1.1789    0.003  12.6   1.5  99.5    9.51    93.0      -1.0000       0.0000
2019 06 06 16 50 30     8.1    -0.5   1.080   0.2   0.0   0.0  30.1  37.4   0.0 101 115   0  31  28  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  16.01     1.1881    0.003  12.4   1.5  99.5    8.12    93.5      -1.0000       0.0000
2019 06 06 17 05 30     7.4    -0.7   1.085   0.2   0.0   0.0  28.8  34.8   0.0  97 108   0  30  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  16.00     1.1905    0.003  12.2   1.5  99.5    7.43    95.4      -1.0000       0.0000
2019 06 06 17 20 30     7.8     0.0   1.088   0.2   0.0   0.0  30.5  38.3   0.0 101 117   0  30  28  20   0  264.4  -0.8  -1.2  0.0  0.0  0.0  15.96     1.1969    0.003  12.2   1.5  99.5    7.80    90.0      -1.0000       0.0000
2019 06 06 17 35 30     6.5     0.0   1.094   0.2   0.0   0.0  31.8  39.1   0.0 103 118   0  29  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.93     1.2009    0.002  12.0   1.5  99.5    6.50    90.0      -1.0000       0.0000
2019 06 06 17 50 30     4.8    -0.2   1.099   0.2   0.0   0.0  31.4  38.3   0.0 102 116   0  29  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.95     1.2032    0.003  12.0   1.5  99.5    4.80    92.4      -1.0000       0.0000
2019 06 06 18 05 30     4.6    -0.5   1.107   0.2   0.0   0.0  31.4  37.4   0.0 102 114   0  29  27  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.92     1.2088    0.003  12.0   1.5  99.5    4.63    96.2      -1.0000       0.0000
2019 06 06 18 20 30     3.2    -1.1   1.112   0.2   0.0   0.0  30.1  36.1   0.0 100 111   0  30  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.94     1.2140    0.002  12.0   1.5  99.5    3.38   109.0      -1.0000       0.0000
2019 06 06 18 35 30     1.5    -1.3   1.108   0.2   0.0   0.0  29.7  34.8   0.0  99 108   0  30  27  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.89     1.2128    0.002  12.0   1.5  99.5    1.98   130.9      -1.0000       0.0000
2019 06 06 18 50 30     2.1    -1.6   1.112   0.2   0.0   0.0  29.7  34.0   0.0  98 106   0  29  27  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.88     1.2148    0.002  12.0   1.5  99.5    2.64   127.3      -1.0000       0.0000
2019 06 06 19 05 30     1.5    -1.7   1.111   0.2   0.0   0.0  30.1  34.0   0.0  99 106   0  29  27  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.86     1.2164    0.003  12.0   1.5  99.5    2.27   138.6      -1.0000       0.0000
2019 06 06 19 20 30     1.2    -1.3   1.114   0.2   0.0   0.0  29.2  33.1   0.0  97 104   0  29  27  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.88     1.2180    0.003  12.0   1.5  99.5    1.77   137.3      -1.0000       0.0000
2019 06 06 19 35 30     1.4    -1.1   1.115   0.2   0.0   0.0  28.8  32.7   0.0  97 103   0  30  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.88     1.2188    0.002  12.0   1.5  99.5    1.78   128.2      -1.0000       0.0000
2019 06 06 19 50 30     1.4    -0.9   1.120   0.2   0.0   0.0  29.7  32.7   0.0  99 104   0  30  28  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.87     1.2252    0.002  12.0   1.5  99.5    1.66   122.7      -1.0000       0.0000
2019 06 06 20 05 30     1.1    -0.6   1.121   0.2   0.0   0.0  30.1  31.8   0.0  99 102   0  29  28  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.85     1.2260    0.002  12.0   1.5  99.5    1.25   118.6      -1.0000       0.0000
2019 06 06 20 20 30     0.9    -0.4   1.123   0.2   0.0   0.0  29.7  32.3   0.0  98 102   0  29  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.85     1.2268    0.002  12.0   1.5  99.5    0.98   114.0      -1.0000       0.0000
2019 06 06 20 35 30     0.5    -0.3   1.127   0.2   0.0   0.0  29.7  34.0   0.0  99 106   0  30  27  21   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.86     1.2307    0.003  12.0   1.5  99.5    0.58   121.0      -1.0000       0.0000
2019 06 06 20 50 30     0.5    -0.2   1.135   0.2   0.0   0.0  29.7  34.0   0.0  99 106   0  30  27  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.81     1.2383    0.002  12.0   1.5  99.5    0.54   111.8      -1.0000       0.0000
2019 06 06 21 05 30    -1.1    -0.5   1.132   0.2   0.0   0.0  29.7  32.7   0.0  98 103   0  29  27  22   0  264.6  -0.8  -1.2  0.0  0.0  0.0  15.83     1.2355    0.003  12.0   1.5  99.5    1.21   245.6      -1.0000       0.0000
2019 06 06 21 20 30    -1.9    -0.5   1.134   0.2   0.0   0.0  29.2  31.8   0.0  97 101   0  29  27  22   0  264.5  -0.8  -1.2  0.0  0.0  0.0  15.83     1.2355    0.003  12.0   1.5  99.5    1.96   255.3      -1.0000       0.0000
