Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 07 09 14 01 30    60.3     4.0   1.757   0.2   0.0   0.0  28.4  30.5   0.0  98 100   0  32  29  23   0  264.5  -0.8  -1.2  0.0  0.0  0.0   9.11     1.9330    0.002  13.2   1.5 100.0   60.43    86.2      -1.0000       0.0000
2019 07 09 14 16 30    59.6     3.8   1.756   0.2   0.0   0.0  30.1  31.8   0.0 101 102   0  31  28  22   0  264.5  -0.8  -1.2  0.0  0.0  0.0   9.14     1.9314    0.003  13.2   1.5 100.0   59.72    86.4      -1.0000       0.0000
2019 07 09 14 31 30    60.0     4.3   1.752   0.2   0.0   0.0  30.5  32.7   0.0 103 105   0  32  29  22   0  264.6  -0.8  -1.2  0.0  0.0  0.0   9.17     1.9258    0.003  13.2   1.5 100.0   60.15    85.9      -1.0000       0.0000
2019 07 09 14 46 30    61.4     3.9   1.755   0.2   0.0   0.0  32.3  35.7   0.0 106 112   0  31  29  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0   9.20     1.9278    0.002  13.2   1.5 100.0   61.52    86.4      -1.0000       0.0000
2019 07 09 15 01 30    61.0     3.9   1.756   0.2   0.0   0.0  31.0  34.8   0.0 104 109   0  32  28  22   0  264.5  -0.8  -1.2  0.0  0.0  0.0   9.24     1.9278    0.002  13.2   1.5  99.5   61.12    86.3      -1.0000       0.0000
2019 07 09 15 16 30    59.1     4.1   1.755   0.2   0.0   0.0  31.0  34.0   0.0 103 107   0  31  28  22   0  264.6  -0.8  -1.2  0.0  0.0  0.0   9.28     1.9266    0.003  13.2   1.5  99.5   59.24    86.0      -1.0000       0.0000
2019 07 09 15 31 30    60.6     3.9   1.761   0.2   0.0   0.0  30.5  32.7   0.0 102 105   0  31  29  22   0  264.6  -0.8  -1.2  0.0  0.0  0.0   9.31     1.9310    0.003  13.2   1.5  99.5   60.73    86.3      -1.0000       0.0000
2019 07 09 15 46 30    61.3     3.8   1.762   0.2   0.0   0.0  30.1  32.3   0.0 101 104   0  31  29  21   0  264.5  -0.8  -1.2  0.0  0.0  0.0   9.35     1.9338    0.003  13.2   1.5  99.5   61.42    86.5      -1.0000       0.0000
2019 07 09 16 01 30    60.9     4.0   1.767   0.2   0.0   0.0  29.2  32.3   0.0 100 103   0  32  28  22   0  264.5  -0.8  -1.2  0.0  0.0  0.0   9.40     1.9402    0.003  13.2   1.5  99.5   61.03    86.2      -1.0000       0.0000
2019 07 09 16 16 30    61.2     4.0   1.772   0.2   0.0   0.0  28.4  30.5   0.0  98  99   0  32  28  23   0  264.5  -0.8  -1.2  0.0  0.0  0.0   9.43     1.9418    0.003  13.2   1.5  99.5   61.33    86.3      -1.0000       0.0000
