Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2020 08 13 11 44 50    61.5     4.0   1.496   0.2   0.0   0.0  33.1  34.4   0.0 108 108   0  31  28  21   0  264.1   0.0  -2.0  0.0  0.0  0.0  14.14     1.5879    0.003  13.8   1.5  99.5   61.63    86.3      -1.0000       0.0000
2020 08 13 11 59 50    62.3     4.4   1.501   0.2   0.0   0.0  33.1  34.4   0.0 108 108   0  31  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.12     1.5946    0.003  13.8   1.5  99.5   62.46    86.0      -1.0000       0.0000
2020 08 13 12 14 50    62.6     4.1   1.505   0.2   0.0   0.0  33.5  35.3   0.0 109 109   0  31  27  21   0  263.8   0.0  -2.0  0.0  0.0  0.0  14.12     1.5994    0.003  13.8   1.5  99.5   62.73    86.3      -1.0000       0.0000
2020 08 13 12 29 50    62.7     4.2   1.508   0.2   0.0   0.0  33.1  35.3   0.0 108 109   0  31  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.12     1.6038    0.002  13.8   1.5  99.5   62.84    86.2      -1.0000       0.0000
2020 08 13 12 44 50    62.7     4.7   1.508   0.2   0.0   0.0  33.5  34.8   0.0 109 109   0  31  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.13     1.6002    0.003  13.8   1.5  99.5   62.88    85.7      -1.0000       0.0000
2020 08 13 12 59 50    62.3     4.4   1.505   0.2   0.0   0.0  34.0  35.7   0.0 110 110   0  31  27  22   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.14     1.5966    0.003  13.8   1.5  99.5   62.46    86.0      -1.0000       0.0000
2020 08 13 13 14 50    63.2     4.7   1.505   0.2   0.0   0.0  34.0  35.3   0.0 110 110   0  31  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.14     1.5918    0.003  13.8   1.5  99.5   63.37    85.7      -1.0000       0.0000
2020 08 13 13 29 50    63.8     3.8   1.507   0.2   0.0   0.0  35.3  35.7   0.0 112 111   0  30  28  21   0  263.8   0.0  -2.0  0.0  0.0  0.0  14.15     1.5914    0.003  14.0   1.5  99.5   63.91    86.6      -1.0000       0.0000
2020 08 13 13 44 50    62.8     4.1   1.509   0.2   0.0   0.0  34.0  35.3   0.0 110 110   0  31  28  21   0  264.0   0.0  -2.0  0.0  0.0  0.0  14.17     1.5914    0.003  13.8   1.5  99.5   62.93    86.3      -1.0000       0.0000
2020 08 13 13 59 50    63.2     4.2   1.508   0.2   0.0   0.0  33.5  35.3   0.0 109 110   0  31  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.19     1.5930    0.003  13.8   1.5  99.5   63.34    86.2      -1.0000       0.0000
2020 08 13 14 14 50    63.9     4.6   1.518   0.2   0.0   0.0  34.0  34.8   0.0 109 109   0  30  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.22     1.5966    0.002  13.8   1.5  99.5   64.07    85.9      -1.0000       0.0000
2020 08 13 14 29 50    65.0     4.0   1.526   0.2   0.0   0.0  34.0  35.3   0.0 110 110   0  31  28  21   0  264.0   0.0  -2.0  0.0  0.0  0.0  14.24     1.6030    0.003  13.8   1.5  99.5   65.12    86.5      -1.0000       0.0000
2020 08 13 14 44 50    64.0     4.5   1.528   0.2   0.0   0.0  34.0  35.7   0.0 109 110   0  30  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.27     1.6054    0.003  13.8   1.5 100.0   64.16    86.0      -1.0000       0.0000
2020 08 13 14 59 50    64.8     4.4   1.531   0.2   0.0   0.0  33.5  35.7   0.0 109 110   0  31  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.29     1.6070    0.003  13.8   1.5 100.0   64.95    86.1      -1.0000       0.0000
2020 08 13 15 14 50    63.0     3.7   1.531   0.2   0.0   0.0  34.4  35.3   0.0 110 110   0  30  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.31     1.6086    0.002  13.6   1.5 100.0   63.11    86.6      -1.0000       0.0000
2020 08 13 15 29 50    62.7     4.6   1.529   0.2   0.0   0.0  34.0  35.3   0.0 110 110   0  31  28  22   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.32     1.6022    0.003  13.4   1.5 100.0   62.87    85.8      -1.0000       0.0000
2020 08 13 15 44 50    60.9     4.3   1.522   0.2   0.0   0.0  34.0  35.7   0.0 111 111   0  32  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.34     1.5998    0.003  13.4   1.5 100.0   61.05    86.0      -1.0000       0.0000
2020 08 13 15 59 50    60.3     4.3   1.516   0.2   0.0   0.0  34.0  35.3   0.0 110 110   0  31  28  22   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.35     1.5950    0.002  13.4   1.5 100.0   60.45    85.9      -1.0000       0.0000
2020 08 13 16 14 50    59.4     3.9   1.506   0.2   0.0   0.0  34.8  35.7   0.0 112 111   0  31  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.36     1.5875    0.003  13.2   1.5 100.0   59.53    86.2      -1.0000       0.0000
2020 08 13 16 29 50    58.2     4.0   1.498   0.2   0.0   0.0  35.7  36.1   0.0 113 113   0  30  29  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.37     1.5783    0.003  13.2   1.5 100.0   58.34    86.1      -1.0000       0.0000
2020 08 13 16 44 50    56.6     3.1   1.492   0.2   0.0   0.0  33.1  34.0   0.0 108 107   0  31  28  20   0  264.0   0.0  -2.0  0.0  0.0  0.0  14.38     1.5727    0.003  13.0   1.5 100.0   56.68    86.9      -1.0000       0.0000
2020 08 13 16 59 50    57.4     3.8   1.481   0.2   0.0   0.0  33.5  34.4   0.0 108 108   0  30  28  22   0  263.8   0.0  -2.0  0.0  0.0  0.0  14.39     1.5639    0.003  12.8   1.5 100.0   57.53    86.2      -1.0000       0.0000
2020 08 13 17 14 50    56.5     3.5   1.473   0.2   0.0   0.0  32.7  34.8   0.0 107 109   0  31  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.39     1.5588    0.002  12.8   1.5 100.0   56.61    86.5      -1.0000       0.0000
2020 08 13 17 29 50    54.0     3.7   1.468   0.2   0.0   0.0  34.0  34.0   0.0 109 108   0  30  29  20   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.40     1.5548    0.003  12.6   1.5 100.0   54.13    86.1      -1.0000       0.0000
2020 08 13 17 44 50    55.7     3.5   1.466   0.2   0.0   0.0  34.0  35.3   0.0 109 109   0  30  27  22   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.40     1.5552    0.003  12.6   1.5 100.0   55.81    86.4      -1.0000       0.0000
2020 08 13 17 59 50    56.5     3.8   1.465   0.2   0.0   0.0  34.4  35.7   0.0 110 110   0  30  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.41     1.5528    0.002  12.6   1.5 100.0   56.63    86.2      -1.0000       0.0000
2020 08 13 18 14 50    57.0     3.9   1.464   0.2   0.0   0.0  33.5  34.8   0.0 108 108   0  30  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.41     1.5524    0.002  12.6   1.5 100.0   57.13    86.1      -1.0000       0.0000
2020 08 13 18 29 50    57.0     3.9   1.462   0.2   0.0   0.0  33.1  34.4   0.0 107 107   0  30  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5520    0.002  12.6   1.5 100.0   57.13    86.1      -1.0000       0.0000
2020 08 13 18 44 50    56.9     3.6   1.460   0.2   0.0   0.0  33.1  34.0   0.0 107 106   0  30  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5496    0.003  12.6   1.5 100.0   57.01    86.4      -1.0000       0.0000
2020 08 13 18 59 50    55.7     3.7   1.456   0.2   0.0   0.0  32.7  34.0   0.0 106 107   0  30  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5448    0.003  12.6   1.5 100.0   55.82    86.2      -1.0000       0.0000
2020 08 13 19 14 50    55.5     4.2   1.452   0.2   0.0   0.0  32.3  33.5   0.0 106 106   0  31  28  22   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5440    0.003  12.6   1.5 100.0   55.66    85.7      -1.0000       0.0000
2020 08 13 19 29 50    54.6     3.8   1.439   0.2   0.0   0.0  33.5  34.4   0.0 108 108   0  30  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5364    0.003  12.6   1.5 100.0   54.73    86.0      -1.0000       0.0000
2020 08 13 19 44 50    53.6     3.9   1.432   0.2   0.0   0.0  32.7  34.4   0.0 107 107   0  31  27  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5297    0.004  12.6   1.5 100.0   53.74    85.8      -1.0000       0.0000
2020 08 13 19 59 50    52.5     3.7   1.425   0.2   0.0   0.0  32.3  33.1   0.0 105 105   0  30  28  21   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5201    0.002  12.6   1.5 100.0   52.63    86.0      -1.0000       0.0000
2020 08 13 20 14 50    52.0     3.7   1.419   0.2   0.0   0.0  32.3  33.5   0.0 105 105   0  30  27  22   0  263.9   0.0  -2.0  0.0  0.0  0.0  14.42     1.5137    0.003  12.4   1.5 100.0   52.13    85.9      -1.0000       0.0000
