Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2018 03 29 10 09 30     1.5    -0.6   0.851   0.2   0.0   0.0  25.8  32.3   0.0  89 101   0  29  26  20   0  270.4   6.4  -2.4  0.0  0.0  0.0  21.87     0.9856    0.002  13.4   1.5 100.0    1.62   111.8      -1.0000       0.0000
2018 03 29 10 19 30     1.5    -0.7   0.852   0.2   0.0   0.0  27.5  31.8   0.0  93 100   0  29  26  20   0  270.4   6.4  -2.4  0.0  0.0  0.0  21.86     0.9920    0.003  13.4   1.5 100.0    1.66   115.0      -1.0000       0.0000
2018 03 29 10 29 30     1.2    -0.3  -1.000   0.2   0.0   0.0  27.5  31.4   0.0  93  99   0  29  26  21   0  270.9   6.4  -2.4  0.0  0.0  0.0  21.85     0.9936    0.003  13.4   1.5 100.0    1.24   104.0      -1.0000       0.0000
2018 03 29 10 39 30     1.4    -0.8   0.854   0.2   0.0   0.0  26.7  31.4   0.0  91  99   0  29  26  20   0  270.6   6.4  -2.4  0.0  0.0  0.0  21.84     0.9960    0.002  13.0   1.5 100.0    1.61   119.7      -1.0000       0.0000
2018 03 29 10 49 30     0.6    -0.3   0.858   0.2   0.0   0.0  24.9  30.5   0.0  88  97   0  30  26  20   0  270.5   6.4  -2.4  0.0  0.0  0.0  21.84     0.9956    0.002  13.4   1.5 100.0    0.67   116.6      -1.0000       0.0000
2018 03 29 10 59 30     0.7    -0.4   0.853   0.2   0.0   0.0  25.8  31.0   0.0  89  98   0  29  26  20   0  270.7   6.4  -2.4  0.0  0.0  0.0  21.86     0.9940    0.003  13.4   1.5 100.0    0.81   119.7      -1.0000       0.0000
2018 03 29 11 09 30     0.9    -0.8   0.855   0.2   0.0   0.0  25.8  30.5   0.0  89  98   0  29  27  21   0  270.4   6.4  -2.4  0.0  0.0  0.0  21.86     0.9924    0.003  13.4   1.5 100.0    1.20   131.6      -1.0000       0.0000
2018 03 29 11 19 30    -0.1    -0.5   0.856   0.2   0.0   0.0  24.5  30.1   0.0  87  96   0  30  26  20   0  270.5   6.4  -2.4  0.0  0.0  0.0  21.86     0.9956    0.003  13.4   1.5 100.0    0.51   191.3      -1.0000       0.0000
2018 03 29 11 29 30     0.1    -0.3  -1.000   0.2   0.0   0.0  21.9  30.1   0.0  80  96   0  29  26  20   0  270.8   6.4  -2.4  0.0  0.0  0.0  21.85     0.9944    0.003  13.2   1.5 100.0    0.32   161.6      -1.0000       0.0000
2018 03 29 11 39 30    -0.5    -0.4  -1.000   0.2   0.0   0.0  21.9  29.2   0.0  81  95   0  30  27  21   0  270.7   6.4  -2.4  0.0  0.0  0.0  21.86     0.9972    0.002  13.4   1.5 100.0    0.64   231.3      -1.0000       0.0000
2018 03 29 11 49 30    -0.7    -0.4   0.865   0.2   0.0   0.0  23.2  29.2   0.0  82  94   0  28  26  20   0  270.7   6.4  -2.4  0.0  0.0  0.0  21.86     0.9964    0.002  13.4   1.5 100.0    0.81   240.3      -1.0000       0.0000
2018 03 29 11 59 30    -1.7    -0.8   0.865   0.2   0.0   0.0  21.5  29.2   0.0  80  94   0  30  26  20   0  270.3   6.4  -2.4  0.0  0.0  0.0  21.86     0.9968    0.003  13.4   1.5 100.0    1.88   244.8      -1.0000       0.0000
2018 03 29 12 09 30    -2.2    -0.2   0.867   0.2   0.0   0.0  21.9  28.0   0.0  80  92   0  29  27  20   0  270.6   6.4  -2.4  0.0  0.0  0.0  21.86     0.9980    0.002  13.2   1.5 100.0    2.21   264.8      -1.0000       0.0000
2018 03 29 12 19 30    -0.9     0.0   0.865   0.2   0.0   0.0  21.1  28.0   0.0  78  91   0  29  26  21   0  270.5   6.4  -2.4  0.0  0.0  0.0  21.88     0.9968    0.002  13.4   1.5 100.0    0.90   270.0      -1.0000       0.0000
2018 03 29 12 29 30    -2.1     0.0   0.866   0.2   0.0   0.0  22.4  28.0   0.0  81  91   0  29  26  20   0  270.7   6.4  -2.4  0.0  0.0  0.0  21.93     0.9948    0.003  13.4   1.5 100.0    2.10   270.0      -1.0000       0.0000
2018 03 29 12 39 30    -2.8    -0.8  -1.000   0.2   0.0   0.0  21.9  27.5   0.0  80  91   0  29  27  20   0  270.6   6.4  -2.4  0.0  0.0  0.0  21.91     0.9924    0.003  13.0   1.5 100.0    2.91   254.1      -1.0000       0.0000
