Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2020 06 15 16 00 48   -43.2    -1.7   0.918   0.2   0.0   0.0  37.8  38.7   0.0 118 118   0  30  28  22   0  264.8   0.0  -1.6  0.0  0.0  0.0  14.47     1.1191    0.003  12.0   1.5 100.0   43.23   267.7      -1.0000       0.0000
2020 06 15 16 15 48   -42.2    -2.4   0.916   0.2   0.0   0.0  37.4  38.3   0.0 116 116   0  29  27  21   0  264.6   0.0  -1.6  0.0  0.0  0.0  14.43     1.1219    0.003  12.0   1.5 100.0   42.27   266.7      -1.0000       0.0000
2020 06 15 16 30 48   -40.2    -1.9   0.918   0.2   0.0   0.0  37.0  37.8   0.0 116 115   0  30  27  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.39     1.1255    0.003  12.0   1.5 100.0   40.24   267.3      -1.0000       0.0000
2020 06 15 16 45 48   -39.2    -2.3   0.924   0.2   0.0   0.0  36.1  37.0   0.0 114 114   0  30  28  21   0  264.3   0.0  -1.6  0.0  0.0  0.0  14.35     1.1319    0.003  12.0   1.5 100.0   39.27   266.6      -1.0000       0.0000
2020 06 15 17 00 48   -37.3    -1.9   0.927   0.2   0.0   0.0  35.3  36.1   0.0 112 112   0  30  28  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.32     1.1347    0.003  11.8   1.5 100.0   37.35   267.1      -1.0000       0.0000
2020 06 15 17 15 48   -37.8    -1.9   0.934   0.2   0.0   0.0  36.1  36.1   0.0 113 112   0  29  28  21   0  264.5   0.0  -1.6  0.0  0.0  0.0  14.29     1.1407    0.003  11.8   1.5 100.0   37.85   267.1      -1.0000       0.0000
2020 06 15 17 30 48   -37.0    -1.6   0.938   0.2   0.0   0.0  38.3  38.3   0.0 118 116   0  29  27  21   0  264.6   0.0  -1.6  0.0  0.0  0.0  14.26     1.1462    0.004  11.8   1.5  99.5   37.03   267.5      -1.0000       0.0000
2020 06 15 17 45 48   -35.2    -1.8   0.944   0.2   0.0   0.0  34.8  35.3   0.0 111 110   0  30  28  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.22     1.1530    0.003  11.8   1.5  99.5   35.25   267.1      -1.0000       0.0000
2020 06 15 18 00 48   -33.7    -1.8   0.955   0.2   0.0   0.0  34.8  36.1   0.0 110 111   0  29  27  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.21     1.1614    0.002  11.8   1.5  99.5   33.75   266.9      -1.0000       0.0000
2020 06 15 18 15 48   -33.0    -1.7   0.956   0.2   0.0   0.0  34.8  35.7   0.0 111 111   0  30  28  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.18     1.1614    0.002  11.8   1.5  99.5   33.04   267.1      -1.0000       0.0000
2020 06 15 18 30 48   -32.7    -1.3   0.964   0.2   0.0   0.0  34.4  36.1   0.0 110 112   0  30  28  21   0  264.6   0.0  -1.6  0.0  0.0  0.0  14.15     1.1678    0.003  11.8   1.5  99.5   32.73   267.7      -1.0000       0.0000
2020 06 15 18 45 48   -32.9    -1.2   0.970   0.2   0.0   0.0  36.5  37.8   0.0 115 115   0  30  27  21   0  264.5   0.0  -1.6  0.0  0.0  0.0  14.12     1.1741    0.003  11.8   1.5  99.5   32.92   267.9      -1.0000       0.0000
2020 06 15 19 00 48   -29.9    -1.3   0.979   0.2   0.0   0.0  35.3  36.1   0.0 112 111   0  30  27  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.12     1.1873    0.003  11.8   1.5  99.5   29.93   267.5      -1.0000       0.0000
2020 06 15 19 15 48   -27.3    -1.5   1.001   0.2   0.0   0.0  36.1  35.3   0.0 113 110   0  29  28  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.11     1.2056    0.003  11.8   1.5  99.5   27.34   266.9      -1.0000       0.0000
2020 06 15 19 30 48   -24.1    -1.1   1.014   0.2   0.0   0.0  34.4  35.7   0.0 110 111   0  30  28  21   0  264.4   0.0  -1.6  0.0  0.0  0.0  14.09     1.2260    0.003  11.8   1.5  99.5   24.13   267.4      -1.0000       0.0000
